2023-05-02 20:21:12.506769,96.6 GB,30/05/2023
2023-05-02 20:51:09.192280,96.5 GB,30/05/2023
2023-05-02 21:21:07.724549,96.2 GB,30/05/2023
2023-05-02 21:51:13.480548,95.8 GB,30/05/2023
2023-05-02 22:21:12.489352,95.0 GB,30/05/2023
2023-05-02 22:51:06.479222,94.8 GB,30/05/2023
2023-05-02 23:21:06.527463,94.8 GB,30/05/2023
2023-05-02 23:51:07.276395,94.8 GB,30/05/2023
2023-05-03 00:21:07.794153,94.5 GB,30/05/2023
2023-05-03 00:51:07.465665,94.1 GB,30/05/2023
2023-05-03 01:21:08.017799,94.1 GB,30/05/2023
2023-05-03 01:51:07.218671,94.1 GB,30/05/2023
2023-05-03 02:21:07.278661,94.1 GB,30/05/2023
2023-05-03 02:51:07.788127,94.1 GB,30/05/2023
2023-05-03 03:21:06.637598,93.7 GB,30/05/2023
2023-05-03 03:51:06.824445,93.7 GB,30/05/2023
2023-05-03 04:21:07.251520,93.7 GB,30/05/2023
2023-05-03 04:51:06.768286,93.7 GB,30/05/2023
2023-05-03 05:21:07.159759,93.6 GB,30/05/2023
2023-05-03 05:51:10.286406,93.6 GB,30/05/2023
2023-05-03 06:21:07.586938,93.6 GB,30/05/2023
2023-05-03 06:51:07.371499,93.6 GB,30/05/2023
2023-05-03 07:21:49.102732,93.5 GB,30/05/2023
2023-05-03 07:51:07.232050,93.5 GB,30/05/2023
2023-05-03 08:21:07.364732,93.4 GB,30/05/2023
2023-05-03 08:51:07.236456,93.4 GB,30/05/2023
2023-05-03 09:21:09.775400,93.4 GB,30/05/2023
2023-05-03 09:51:06.995793,93.3 GB,30/05/2023
2023-05-03 10:21:08.190821,93.3 GB,30/05/2023
2023-05-03 11:21:08.424897,93.2 GB,30/05/2023
2023-05-03 12:21:09.272990,93.2 GB,30/05/2023
2023-05-03 13:21:10.940816,93.1 GB,30/05/2023
2023-05-03 14:21:10.339022,93.0 GB,30/05/2023
2023-05-03 15:21:13.658427,92.9 GB,30/05/2023
2023-05-03 16:21:08.540333,92.9 GB,30/05/2023
2023-05-03 17:21:10.383417,92.7 GB,30/05/2023
2023-05-03 18:21:09.665602,92.6 GB,30/05/2023
